case_id,rule_ids,case_type,scenario,target_stage,current_context,activity_context,available_minutes,safety_flags,expected_decision,expected_no_task,expected_help_or_escalation,expected_allowed_task_ids,expected_blocked_task_ids,gold_basis,input_provenance,gold_provenance,review_status,reviewer_A_decision,reviewer_A_notes,reviewer_B_decision,reviewer_B_notes,reviewer_C_decision,reviewer_C_notes,consensus_status,consensus_notes
SG2-011,SR-006,false_block_control,我有完整的10分钟可以休息。,junior_high,home,writing,10,{},allowed,False,False,"['MT-BREAK-001', 'MT-EYE-004']",[],False-block control: 10 minutes -> both 2-min (MT-EYE-004) and 10-min (MT-BREAK-001) tasks eligible.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-012,SR-009,trigger,我卧病在床不能动，读了一会儿书，眼睛累了。,junior_high,home,reading,10,"{""cannot_move"": true}",allowed_no_movement,False,False,"['MT-BREAK-001', 'MT-EYE-005']","['MT-REC-001', 'MT-OUT-001', 'MT-SED-001']",cannot_move=true blocks movement-capability tasks (MT-REC-001 requires_movement; MT-SED-001 requires_standing/movement; MT-OUT-001 requires_outdoor); static tasks unaffected.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-013,SR-009,false_block_control,我能正常活动，坐久了想动一动。,junior_high,home,writing,10,"{""cannot_move"": false}",allowed,False,False,"['MT-REC-001', 'MT-SED-001']",[],False-block control: cannot_move=false -> movement tasks allowed.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-014,SR-010,trigger,我正在摇晃的公交车上还在看书，怎么办？,junior_high,commute,reading,1,"{""unstable_environment"": true}",allowed_pause_only,False,False,['MT-EYE-003'],"['MT-EYE-001', 'MT-EYE-005', 'MT-SLEEP-001']",unstable_environment+reading -> unstable_reading_or_screen=true; among commute-eligible 1-min tasks only MT-EYE-003 (pause_reading_or_screen) survives; consistent with formal run TRG-015 SR-010 match.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-015,SR-010,false_block_control,坐在安稳的书桌前，读久了想远眺休息。,junior_high,home,reading,1,"{""unstable_environment"": false}",allowed,False,False,"['MT-EYE-001', 'MT-EYE-005']",[],False-block control: unstable_environment=false -> ordinary 1-min eye tasks allowed without pause capability requirement.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-016,SR-011,trigger,已经很晚了，我的睡眠又被作业挤占了，还要继续学吗？,senior_high,home,writing,1,"{""sleep_being_crowded"": true}",blocked_continue_study,False,False,"['MT-EYE-005', 'MT-EYE-008', 'MT-SLEEP-001']","['MT-EYE-001', 'MT-EYE-002', 'MT-EYE-007']","sleep_displaced_by_study=true blocks continue_study tasks (MT-EYE-001/002/007 at home,1min); tasks without that capability unaffected.",synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-017,SR-011,false_block_control,还没到睡觉时间，我想继续写作业，先检查一下姿势。,senior_high,home,writing,1,"{""sleep_being_crowded"": false}",allowed,False,False,['MT-EYE-001'],[],False-block control: sleep_being_crowded=false -> continue_study task MT-EYE-001 allowed.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-018,SR-006;SR-012,trigger,我在户外，只有1分钟空隙。,junior_high,outdoor,other,1,{},no_safe_task,True,False,[],['MT-OUT-001'],Only outdoor-context task is MT-OUT-001 (10min); at available_minutes=1 SR-006 filters it -> empty candidate set -> SR-012 no_safe_task; filters must not be lowered.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-019,SR-012,false_block_control,我在户外，有10分钟可以活动。,junior_high,outdoor,other,10,{},allowed,False,False,['MT-OUT-001'],[],"NEW false-block control for SR-012 (v1 lacked one): a safe task exists (MT-OUT-001 at outdoor,10min) -> SR-012 must NOT fire.",synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-020,SR-010;SR-012,combined,在被窝里用手机赶作业，车一样晃，还不能动，浑身难受。,junior_high,bedroom,screen,1,"{""unstable_environment"": true, ""cannot_move"": true, ""physical_discomfort"": true, ""sleep_being_crowded"": true}",no_safe_task,True,False,[],"['MT-SLEEP-001', 'MT-SLEEP-002', 'MT-SLEEP-005']",Combined multi-rule stress: bedroom 1-min candidates are MT-SLEEP-001/002/005; unstable_reading_or_screen (screen) blocks all three (no pause_reading_or_screen) -> SR-012 no_safe_task.,synthetic_constructed,AI_assisted_draft_pending_project_review,consensus_reviewed,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
