case_id,task_id,task_title,task_domain,task_contexts,estimated_minutes,draft_label,draft_reason
AGX-002,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,context_mismatch
AGX-002,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-002,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-002,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-002,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,activity_mismatch
AGX-002,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-002,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,activity_mismatch
AGX-002,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,semantic_mismatch
AGX-002,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-002,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-002,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-002,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,sleep_context_mismatch
AGX-002,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,sleep_context_mismatch
AGX-002,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-002,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,sleep_context_mismatch
AGX-002,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,invalid,environment_mismatch
AGX-002,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,acceptable,轻微活动缓解久坐，但未组合远眺
AGX-002,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,preferred,远眺+轻微活动同时覆盖眼部放松与起身，10分钟匹配
AGX-003,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,invalid,time_constraint
AGX-003,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,time_constraint
AGX-003,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,invalid,time_constraint
AGX-003,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,context_mismatch
AGX-003,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,invalid,time_constraint
AGX-003,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,time_constraint
AGX-003,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,acceptable,姿势复位1分钟，屏幕学习前调整
AGX-003,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-003,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-003,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,time_constraint
AGX-003,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,preferred,检查电脑观看距离，1分钟，直接命中屏幕过近
AGX-003,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,activity_mismatch
AGX-003,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,context_mismatch
AGX-003,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-003,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-003,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-003,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,sleep_context_mismatch
AGX-003,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,time_constraint
AGX-003,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-003,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,time_constraint
AGX-003,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,invalid,time_constraint
AGX-003,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,invalid,time_constraint
AGX-003,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,invalid,time_constraint
AGX-004,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,invalid,activity_mismatch
AGX-004,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,activity_mismatch
AGX-004,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,invalid,activity_mismatch
AGX-004,MT-BREAK-004,课间离开座位活动,study_break,school,10,preferred,课间离座活动，school匹配，满足轻量活动
AGX-004,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,acceptable,久坐起身可执行，但更针对作业久坐而非课间
AGX-004,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,context_mismatch
AGX-004,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-004,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-004,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-004,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,activity_mismatch
AGX-004,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-004,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,activity_mismatch
AGX-004,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,context_mismatch
AGX-004,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-004,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-004,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-004,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,sleep_context_mismatch
AGX-004,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,sleep_context_mismatch
AGX-004,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-004,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,sleep_context_mismatch
AGX-004,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,acceptable,户外透气符合想活动，但触发为连续读写后，语义略弱
AGX-004,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,invalid,semantic_mismatch
AGX-004,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,invalid,semantic_mismatch
AGX-005,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,acceptable,远眺合理但未解决久坐
AGX-005,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,activity_mismatch
AGX-005,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,acceptable,纯休息可接受但未解决久坐
AGX-005,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,context_mismatch
AGX-005,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,acceptable,任务安全，但负向记忆使其弱于首选
AGX-005,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,context_mismatch
AGX-005,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-005,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-005,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-005,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,activity_mismatch
AGX-005,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-005,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,activity_mismatch
AGX-005,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,semantic_mismatch
AGX-005,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-005,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-005,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-005,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,sleep_context_mismatch
AGX-005,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,sleep_context_mismatch
AGX-005,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-005,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,sleep_context_mismatch
AGX-005,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,invalid,environment_mismatch
AGX-005,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,preferred,轻微活动解决久坐，正向记忆加持
AGX-005,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,acceptable,组合休息合理，但比单轻微活动多一步远眺
AGX-006,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,preferred,远眺休息无移动要求，不受cannot_move影响
AGX-006,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,activity_mismatch
AGX-006,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,acceptable,纯休息同样无需移动
AGX-006,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,safety_constraint
AGX-006,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,invalid,safety_constraint
AGX-006,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,safety_constraint
AGX-006,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-006,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-006,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-006,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,activity_mismatch
AGX-006,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-006,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,activity_mismatch
AGX-006,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,semantic_mismatch
AGX-006,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-006,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-006,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-006,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,sleep_context_mismatch
AGX-006,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,sleep_context_mismatch
AGX-006,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-006,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,sleep_context_mismatch
AGX-006,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,invalid,safety_constraint
AGX-006,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,invalid,safety_constraint
AGX-006,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,invalid,safety_constraint
AGX-007,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,invalid,context_mismatch
AGX-007,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,context_mismatch
AGX-007,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,invalid,context_mismatch
AGX-007,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,context_mismatch
AGX-007,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,invalid,context_mismatch
AGX-007,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,context_mismatch
AGX-007,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,invalid,context_mismatch
AGX-007,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,context_mismatch
AGX-007,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,context_mismatch
AGX-007,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,context_mismatch
AGX-007,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,invalid,context_mismatch
AGX-007,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,context_mismatch
AGX-007,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,context_mismatch
AGX-007,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,context_mismatch
AGX-007,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,explicit_preference
AGX-007,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,semantic_mismatch
AGX-007,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,semantic_mismatch
AGX-007,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,preferred,减少高亮屏暴露，5分钟匹配还需用屏
AGX-007,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,semantic_mismatch
AGX-007,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,semantic_mismatch
AGX-007,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,invalid,context_mismatch
AGX-007,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,invalid,context_mismatch
AGX-007,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,invalid,context_mismatch
AGX-008,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,preferred,远眺休息匹配连续学习后休息，记忆偏好加持
AGX-008,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,activity_mismatch
AGX-008,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,acceptable,纯休息合理，但记忆偏好指向远眺
AGX-008,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,context_mismatch
AGX-008,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,invalid,semantic_mismatch
AGX-008,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,semantic_mismatch
AGX-008,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-008,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-008,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-008,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,activity_mismatch
AGX-008,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-008,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,activity_mismatch
AGX-008,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,semantic_mismatch
AGX-008,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-008,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-008,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-008,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,sleep_context_mismatch
AGX-008,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,sleep_context_mismatch
AGX-008,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-008,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,sleep_context_mismatch
AGX-008,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,invalid,environment_mismatch
AGX-008,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,invalid,semantic_mismatch
AGX-008,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,invalid,semantic_mismatch
AGX-009,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,acceptable,远眺合理但未解决久坐
AGX-009,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,activity_mismatch
AGX-009,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,acceptable,纯休息可接受但未解决久坐
AGX-009,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,context_mismatch
AGX-009,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,acceptable,任务安全，但显式偏好与负向记忆使其弱于组合方案
AGX-009,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,context_mismatch
AGX-009,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-009,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-009,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-009,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,activity_mismatch
AGX-009,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-009,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,activity_mismatch
AGX-009,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,semantic_mismatch
AGX-009,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,activity_mismatch
AGX-009,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-009,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-009,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,sleep_context_mismatch
AGX-009,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,sleep_context_mismatch
AGX-009,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-009,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,sleep_context_mismatch
AGX-009,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,invalid,environment_mismatch
AGX-009,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,acceptable,轻微活动缓解久坐但未组合眼部放松
AGX-009,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,preferred,远眺+轻微活动同时覆盖眼疲劳与久坐
AGX-010,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,invalid,time_constraint
AGX-010,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,time_constraint
AGX-010,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,invalid,time_constraint
AGX-010,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,time_constraint
AGX-010,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,invalid,time_constraint
AGX-010,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,context_mismatch
AGX-010,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,acceptable,姿势复位1分钟，屏幕学习前调整
AGX-010,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-010,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-010,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,time_constraint
AGX-010,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,preferred,检查电脑观看距离，1分钟，school匹配
AGX-010,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,activity_mismatch
AGX-010,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,context_mismatch
AGX-010,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,semantic_mismatch
AGX-010,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-010,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-010,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,sleep_context_mismatch
AGX-010,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,sleep_context_mismatch
AGX-010,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,sleep_context_mismatch
AGX-010,MT-SLEEP-006,夜间把卧室光线挡暗一些,sleep,home|bedroom,2,invalid,sleep_context_mismatch
AGX-010,MT-OUT-001,读写后的户外休息,outdoor,school|home|outdoor,10,invalid,time_constraint
AGX-010,MT-REC-001,读写后的轻微活动,light_recovery,home|school|study_space,10,invalid,time_constraint
AGX-010,MT-REC-002,远眺加轻微活动的组合休息,light_recovery,home|school|study_space,10,invalid,time_constraint
AGX-011,MT-BREAK-001,连续读写后的远眺休息,study_break,home|school|study_space,10,invalid,context_mismatch
AGX-011,MT-BREAK-002,电子学习后的离屏远眺,study_break,home|school|study_space,10,invalid,context_mismatch
AGX-011,MT-BREAK-003,连续读写后的纯休息,study_break,home|school|study_space,10,invalid,context_mismatch
AGX-011,MT-BREAK-004,课间离开座位活动,study_break,school,10,invalid,context_mismatch
AGX-011,MT-SED-001,写作业久坐后的起身活动,sedentary,home|school|study_space,10,invalid,context_mismatch
AGX-011,MT-SED-002,娱乐久坐后的起身活动,sedentary,home,10,invalid,context_mismatch
AGX-011,MT-EYE-001,读写姿势快速复位,eye_health,home|school|study_space,1,invalid,context_mismatch
AGX-011,MT-EYE-002,停止躺着看书或看屏幕,eye_health,home|school|study_space,1,invalid,context_mismatch
AGX-011,MT-EYE-003,移动场景先暂停阅读,eye_health,home|school|study_space,1,invalid,context_mismatch
AGX-011,MT-EYE-004,换到合适光线再读写,eye_health,home|school|study_space,2,invalid,context_mismatch
AGX-011,MT-EYE-005,检查电脑观看距离,eye_health,home|school|study_space,1,invalid,context_mismatch
AGX-011,MT-EYE-006,检查手机观看距离,eye_health,home|school|commute|study_space,1,invalid,context_mismatch
AGX-011,MT-EYE-007,晚间学习同时开台灯和顶灯,eye_health,home,1,invalid,context_mismatch
AGX-011,MT-EYE-008,有条件时选择更大屏幕学习,eye_health,home|school|study_space,1,invalid,context_mismatch
AGX-011,MT-SLEEP-001,睡前停止玩手机和电子产品,sleep,home|bedroom,1,acceptable,停止刷手机相关，但记忆偏好指向固定作息
AGX-011,MT-SLEEP-002,今晚按平时固定时间睡觉,sleep,home|bedroom,1,preferred,固定时间睡觉，1分钟，正向记忆加持
AGX-011,MT-SLEEP-003,周末起床时间别偏太多,sleep,home,1,invalid,semantic_mismatch
AGX-011,MT-SLEEP-004,夜间减少高亮电子屏暴露,sleep,home|bedroom,5,invalid,time_constraint
AGX-011,MT-SLEEP-005,睡觉时关闭夜灯,sleep,home|bedroom,1,invalid,semantic_mismatch
