"case_id","case_family_id","query","current_context","activity_context","available_minutes","task_id","task_title","task_domain","task_contexts","task_estimated_minutes","draft_label","draft_reason","evidence_chunk_ids","human_decision","human_label","human_notes"
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-EYE-005","检查电脑观看距离","eye_health","home|school|study_space","1","invalid","activity_mismatch: formal trigger/context_tags do not match writing need","KC-SRC-008-002A","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-EYE-006","检查手机观看距离","eye_health","home|school|commute|study_space","1","invalid","activity_mismatch: formal trigger/context_tags do not match writing need","KC-SRC-008-002A","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-EYE-007","晚间学习同时开台灯和顶灯","eye_health","home","1","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-008-002A","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-EYE-008","有条件时选择更大屏幕学习","eye_health","home|school|study_space","1","invalid","activity_mismatch: formal trigger/context_tags do not match writing need","KC-SRC-008-002A","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-SLEEP-001","睡前停止玩手机和电子产品","sleep","home|bedroom","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-001-007|KC-SRC-008-002B","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-SLEEP-002","今晚按平时固定时间睡觉","sleep","home|bedroom","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-001-006|KC-SRC-007-004","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-SLEEP-003","周末起床时间别偏太多","sleep","home","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-007|KC-SRC-001-006","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-SLEEP-004","夜间减少高亮电子屏暴露","sleep","home|bedroom","5","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-002B|KC-SRC-001-007","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-SLEEP-005","睡觉时关闭夜灯","sleep","home|bedroom","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-002B","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-SLEEP-006","夜间把卧室光线挡暗一些","sleep","home|bedroom","2","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-002B","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-OUT-001","读写后的户外休息","outdoor","school|home|outdoor","10","invalid","environment_mismatch: formal outdoor/environment requirement is not established for this scenario","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-REC-001","读写后的轻微活动","light_recovery","home|school|study_space","10","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-001","TGF-A-PAPER-FAR-VIEW","在家连续写了四十分钟作业，现在有十分钟，想优先看看远处让眼睛放松一下。","home","writing","10","MT-REC-002","远眺加轻微活动的组合休息","light_recovery","home|school|study_space","10","acceptable","包含远眺且时长适合，但额外加入轻微活动，负担略高。","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-BREAK-001","连续读写后的远眺休息","study_break","home|school|study_space","10","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-BREAK-002","电子学习后的离屏远眺","study_break","home|school|study_space","10","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-003-004A|KC-SRC-008-006|KC-SRC-007-002","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-BREAK-003","连续读写后的纯休息","study_break","home|school|study_space","10","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-003-003","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-BREAK-004","课间离开座位活动","study_break","school","10","invalid","context_mismatch: formal execution_contexts=school does not include outdoor","KC-SRC-008-004","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-SED-001","写作业久坐后的起身活动","sedentary","home|school|study_space","10","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-007-003","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-SED-002","娱乐久坐后的起身活动","sedentary","home","10","invalid","context_mismatch: formal execution_contexts=home does not include outdoor","KC-SRC-007-003","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-EYE-001","读写姿势快速复位","eye_health","home|school|study_space","1","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-003-002|KC-SRC-008-008","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-EYE-002","停止躺着看书或看屏幕","eye_health","home|school|study_space","1","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-003-002|KC-SRC-008-008","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-EYE-003","移动场景先暂停阅读","eye_health","commute|home|school","1","invalid","context_mismatch: formal execution_contexts=commute|home|school does not include outdoor","KC-SRC-003-002","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-EYE-004","换到合适光线再读写","eye_health","home|school|study_space","2","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-003-002","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-EYE-005","检查电脑观看距离","eye_health","home|school|study_space","1","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-008-002A","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-EYE-006","检查手机观看距离","eye_health","home|school|commute|study_space","1","invalid","context_mismatch: formal execution_contexts=home|school|commute|study_space does not include outdoor","KC-SRC-008-002A","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-EYE-007","晚间学习同时开台灯和顶灯","eye_health","home","1","invalid","context_mismatch: formal execution_contexts=home does not include outdoor","KC-SRC-008-002A","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-EYE-008","有条件时选择更大屏幕学习","eye_health","home|school|study_space","1","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-008-002A","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-SLEEP-001","睡前停止玩手机和电子产品","sleep","home|bedroom","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-001-007|KC-SRC-008-002B","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-SLEEP-002","今晚按平时固定时间睡觉","sleep","home|bedroom","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-001-006|KC-SRC-007-004","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-SLEEP-003","周末起床时间别偏太多","sleep","home","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-007|KC-SRC-001-006","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-SLEEP-004","夜间减少高亮电子屏暴露","sleep","home|bedroom","5","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-002B|KC-SRC-001-007","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-SLEEP-005","睡觉时关闭夜灯","sleep","home|bedroom","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-002B","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-SLEEP-006","夜间把卧室光线挡暗一些","sleep","home|bedroom","2","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-002B","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-OUT-001","读写后的户外休息","outdoor","school|home|outdoor","10","preferred","连续读写约40分钟、当前已在户外且有10分钟，完整匹配户外休息任务。","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-REC-001","读写后的轻微活动","light_recovery","home|school|study_space","10","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-002","TGF-P-OUTDOOR-BREAK","在户外阅读区连续看了四十分钟资料，接下来十分钟想直接在户外休息。","outdoor","reading","10","MT-REC-002","远眺加轻微活动的组合休息","light_recovery","home|school|study_space","10","invalid","context_mismatch: formal execution_contexts=home|school|study_space does not include outdoor","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-BREAK-001","连续读写后的远眺休息","study_break","home|school|study_space","10","invalid","activity_mismatch: formal trigger/context_tags do not match screen need","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-BREAK-002","电子学习后的离屏远眺","study_break","home|school|study_space","10","preferred","课余电子学习30–40分钟后离屏远眺10分钟与场景精确匹配。","KC-SRC-003-004A|KC-SRC-008-006|KC-SRC-007-002","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-BREAK-003","连续读写后的纯休息","study_break","home|school|study_space","10","invalid","activity_mismatch: formal trigger/context_tags do not match screen need","KC-SRC-003-003","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-BREAK-004","课间离开座位活动","study_break","school","10","invalid","context_mismatch: formal execution_contexts=school does not include study_space","KC-SRC-008-004","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-SED-001","写作业久坐后的起身活动","sedentary","home|school|study_space","10","invalid","activity_mismatch: formal trigger/context_tags do not match screen need","KC-SRC-007-003","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-SED-002","娱乐久坐后的起身活动","sedentary","home","10","invalid","context_mismatch: formal execution_contexts=home does not include study_space","KC-SRC-007-003","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-EYE-001","读写姿势快速复位","eye_health","home|school|study_space","1","invalid","activity_mismatch: formal trigger/context_tags do not match screen need","KC-SRC-003-002|KC-SRC-008-008","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-EYE-002","停止躺着看书或看屏幕","eye_health","home|school|study_space","1","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-003-002|KC-SRC-008-008","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-EYE-003","移动场景先暂停阅读","eye_health","commute|home|school","1","invalid","context_mismatch: formal execution_contexts=commute|home|school does not include study_space","KC-SRC-003-002","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-EYE-004","换到合适光线再读写","eye_health","home|school|study_space","2","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-003-002","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-EYE-005","检查电脑观看距离","eye_health","home|school|study_space","1","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-008-002A","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-EYE-006","检查手机观看距离","eye_health","home|school|commute|study_space","1","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-008-002A","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-EYE-007","晚间学习同时开台灯和顶灯","eye_health","home","1","invalid","context_mismatch: formal execution_contexts=home does not include study_space","KC-SRC-008-002A","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-EYE-008","有条件时选择更大屏幕学习","eye_health","home|school|study_space","1","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-008-002A","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-SLEEP-001","睡前停止玩手机和电子产品","sleep","home|bedroom","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-001-007|KC-SRC-008-002B","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-SLEEP-002","今晚按平时固定时间睡觉","sleep","home|bedroom","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-001-006|KC-SRC-007-004","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-SLEEP-003","周末起床时间别偏太多","sleep","home","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-007|KC-SRC-001-006","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-SLEEP-004","夜间减少高亮电子屏暴露","sleep","home|bedroom","5","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-002B|KC-SRC-001-007","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-SLEEP-005","睡觉时关闭夜灯","sleep","home|bedroom","1","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-002B","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-SLEEP-006","夜间把卧室光线挡暗一些","sleep","home|bedroom","2","invalid","sleep_context_mismatch: formal sleep/non-sleep applicability does not match the current sleep context","KC-SRC-008-002B","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-OUT-001","读写后的户外休息","outdoor","school|home|outdoor","10","invalid","environment_mismatch: formal outdoor/environment requirement is not established for this scenario","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-REC-001","读写后的轻微活动","light_recovery","home|school|study_space","10","invalid","activity_mismatch: formal trigger/context_tags do not match screen need","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-003","TGF-B-SCREEN-BREAK","在自习区用平板上网课三十五分钟了，现在正好能休息十分钟，想离开屏幕缓一缓。","study_space","screen","10","MT-REC-002","远眺加轻微活动的组合休息","light_recovery","home|school|study_space","10","invalid","activity_mismatch: formal trigger/context_tags do not match screen need","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-BREAK-001","连续读写后的远眺休息","study_break","home|school|study_space","10","acceptable","远眺也是合理休息方式，但比请求增加了具体方式。","KC-SRC-003-003|KC-SRC-008-006","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-BREAK-002","电子学习后的离屏远眺","study_break","home|school|study_space","10","invalid","activity_mismatch: formal trigger/context_tags do not match reading need","KC-SRC-003-004A|KC-SRC-008-006|KC-SRC-007-002","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-BREAK-003","连续读写后的纯休息","study_break","home|school|study_space","10","preferred","任务明确用于连续读写后需要简单休息且不指定恢复方式的场景。","KC-SRC-003-003","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-BREAK-004","课间离开座位活动","study_break","school","10","invalid","context_mismatch: formal execution_contexts=school does not include home","KC-SRC-008-004","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-SED-001","写作业久坐后的起身活动","sedentary","home|school|study_space","10","invalid","activity_mismatch: formal trigger/context_tags do not match reading need","KC-SRC-007-003","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-SED-002","娱乐久坐后的起身活动","sedentary","home","10","invalid","activity_mismatch: formal trigger/context_tags do not match reading need","KC-SRC-007-003","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-EYE-001","读写姿势快速复位","eye_health","home|school|study_space","1","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-003-002|KC-SRC-008-008","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-EYE-002","停止躺着看书或看屏幕","eye_health","home|school|study_space","1","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-003-002|KC-SRC-008-008","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-EYE-003","移动场景先暂停阅读","eye_health","commute|home|school","1","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-003-002","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-EYE-004","换到合适光线再读写","eye_health","home|school|study_space","2","invalid","semantic_mismatch: formal trigger and applicability do not answer this scenario's information need","KC-SRC-003-002","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-EYE-005","检查电脑观看距离","eye_health","home|school|study_space","1","invalid","activity_mismatch: formal trigger/context_tags do not match reading need","KC-SRC-008-002A","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-EYE-006","检查手机观看距离","eye_health","home|school|commute|study_space","1","invalid","activity_mismatch: formal trigger/context_tags do not match reading need","KC-SRC-008-002A","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-EYE-007","晚间学习同时开台灯和顶灯","eye_health","home","1","invalid","activity_mismatch: formal trigger/context_tags do not match reading need","KC-SRC-008-002A","","",""
"TRG-004","TGF-A-PAPER-PLAIN-PAUSE","在家连续读了四十分钟，接下来只想停下阅读休息十分钟，不指定远眺或活动方式。","home","reading","10","MT-EYE-008","有条件时选择更大屏幕学习","eye_health","home|school|study_space","1","invalid","activity_mismatch: formal trigger/context_tags do not match reading need","KC-SRC-008-002A","","",""
