case_id,scenario,gold_factor_position,gold_factor_type,gold_factor_description,agentic_factor_count,agentic_factor_summary,recorded_agentic_evidence,reviewer_A_covered,reviewer_A_notes,reviewer_B_covered,reviewer_B_notes,reviewer_C_covered,reviewer_C_notes,consensus_covered,consensus_status,consensus_notes
AGX-001,在家连续复习了四十多分钟，中间没停过。现在只有十分钟空档，离睡觉还有大约一小时，我不想做活动，只想安静歇一下，接下来怎么安排？,1,behavior_need,continuous study needs interruption,4,F1:study_break | F2:sedentary | F3:sleep | F4:light_recovery,"domains=['study_break', 'sedentary', 'sleep', 'light_recovery'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-003-004B,KC-SRC-001-003; F2:KC-SRC-007-004,KC-SRC-001-005,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-001-003; F3:KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-008-007,KC-SRC-001-007; F4:KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-003-004B | explanation=因连续用眼已超建议时长，当前可用时间较短且倾向安静，远眺加轻微活动组合既能科学护眼，又无需强体力投入，契合休息需求与后续睡眠准备。",,,,,,,,,
AGX-004,在学校连着坐了两节课没怎么动，现在课间有十分钟自由活动时间。我不想剧烈跑动，只想活动一下腿脚，怎么办？,2,context_constraint,at school during free recess,4,F1:sedentary | F2:physical_activity | F3:physical_activity | F4:physical_activity,"domains=['sedentary', 'physical_activity', 'physical_activity', 'physical_activity'] | knowledge_trace=F1:KC-SRC-007-003,KC-SRC-003-003,KC-SRC-001-005,KC-SRC-003-004A,KC-SRC-004-003; F2:KC-SRC-008-004,KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-003,KC-SRC-001-005; F3:KC-SRC-001-005,KC-SRC-008-005,KC-SRC-007-003,KC-SRC-004-005,KC-SRC-008-006; F4:KC-SRC-008-006,KC-SRC-001-005,KC-SRC-001-003,KC-SRC-004-005,KC-SRC-008-005 | explanation=该任务契合久坐后需轻度活动腿脚的需求，课间离座活动既避免剧烈运动，又响应“走出教室”指令与护眼监督要求，符合当前可用时间较短、目标明确的实际情况。",,,,,,,,,
AGX-004,在学校连着坐了两节课没怎么动，现在课间有十分钟自由活动时间。我不想剧烈跑动，只想活动一下腿脚，怎么办？,3,soft_preference,"wants light movement, no vigorous running",4,F1:sedentary | F2:physical_activity | F3:physical_activity | F4:physical_activity,"domains=['sedentary', 'physical_activity', 'physical_activity', 'physical_activity'] | knowledge_trace=F1:KC-SRC-007-003,KC-SRC-003-003,KC-SRC-001-005,KC-SRC-003-004A,KC-SRC-004-003; F2:KC-SRC-008-004,KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-003,KC-SRC-001-005; F3:KC-SRC-001-005,KC-SRC-008-005,KC-SRC-007-003,KC-SRC-004-005,KC-SRC-008-006; F4:KC-SRC-008-006,KC-SRC-001-005,KC-SRC-001-003,KC-SRC-004-005,KC-SRC-008-005 | explanation=该任务契合久坐后需轻度活动腿脚的需求，课间离座活动既避免剧烈运动，又响应“走出教室”指令与护眼监督要求，符合当前可用时间较短、目标明确的实际情况。",,,,,,,,,
AGX-005,在自习室连续坐了一小时写作业，现在有十分钟休息，既想活动一下腿脚又不想太费劲，怎么安排？,1,behavior_need,prolonged sitting needs interruption,4,F1:physical_activity | F2:study_break | F3:physical_activity | F4:physical_activity,"domains=['physical_activity', 'study_break', 'physical_activity', 'physical_activity'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-007-003,KC-SRC-004-003,KC-SRC-003-004A,KC-SRC-008-006; F2:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F3:KC-SRC-001-005,KC-SRC-007-003,KC-SRC-008-005,KC-SRC-008-006,KC-SRC-003-002; F4:KC-SRC-007-004,KC-SRC-001-007,KC-SRC-003-004A,KC-SRC-007-002,KC-SRC-007-003 | explanation=该任务契合久坐后需轻度活动的需求，证据明确支持读写后10分钟轻微活动可缓解身体僵硬与视疲劳；用户倾向轻松、易执行，且当前可用时间较短，此任务无需离座或额外准备，自然融入休息节奏。",,,,,,,,,
AGX-005,在自习室连续坐了一小时写作业，现在有十分钟休息，既想活动一下腿脚又不想太费劲，怎么安排？,2,memory_preference,positive feedback prefers MT-REC-001 light activity,4,F1:physical_activity | F2:study_break | F3:physical_activity | F4:physical_activity,"domains=['physical_activity', 'study_break', 'physical_activity', 'physical_activity'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-007-003,KC-SRC-004-003,KC-SRC-003-004A,KC-SRC-008-006; F2:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F3:KC-SRC-001-005,KC-SRC-007-003,KC-SRC-008-005,KC-SRC-008-006,KC-SRC-003-002; F4:KC-SRC-007-004,KC-SRC-001-007,KC-SRC-003-004A,KC-SRC-007-002,KC-SRC-007-003 | explanation=该任务契合久坐后需轻度活动的需求，证据明确支持读写后10分钟轻微活动可缓解身体僵硬与视疲劳；用户倾向轻松、易执行，且当前可用时间较短，此任务无需离座或额外准备，自然融入休息节奏。",,,,,,,,,
AGX-005,在自习室连续坐了一小时写作业，现在有十分钟休息，既想活动一下腿脚又不想太费劲，怎么安排？,3,memory_preference,negative feedback dislikes MT-SED-001 standing task,4,F1:physical_activity | F2:study_break | F3:physical_activity | F4:physical_activity,"domains=['physical_activity', 'study_break', 'physical_activity', 'physical_activity'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-007-003,KC-SRC-004-003,KC-SRC-003-004A,KC-SRC-008-006; F2:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F3:KC-SRC-001-005,KC-SRC-007-003,KC-SRC-008-005,KC-SRC-008-006,KC-SRC-003-002; F4:KC-SRC-007-004,KC-SRC-001-007,KC-SRC-003-004A,KC-SRC-007-002,KC-SRC-007-003 | explanation=该任务契合久坐后需轻度活动的需求，证据明确支持读写后10分钟轻微活动可缓解身体僵硬与视疲劳；用户倾向轻松、易执行，且当前可用时间较短，此任务无需离座或额外准备，自然融入休息节奏。",,,,,,,,,
AGX-006,我今天不方便起身走动，刚在家连续读书四十分钟，现在想休息十分钟，但没法起身活动，怎么安排合适？,1,behavior_need,continuous reading needs interruption,4,F1:sedentary | F2:eye_health | F3:study_break | F4:light_recovery,"domains=['sedentary', 'eye_health', 'study_break', 'light_recovery'] | knowledge_trace=F1:KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-001-005,KC-SRC-008-006,KC-SRC-003-002; F2:KC-SRC-008-006,KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-001-003,KC-SRC-007-003; F3:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F4:KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-001-005,KC-SRC-004-005 | explanation=该任务匹配F1-F4：久坐用眼后需休息，且无需起身。远眺恰好满足无法活动时的眼部放松需求，且任务指令与证据明确支持读写约40分钟后休息约10分钟，方式包括远眺。",,,,,,,,,
AGX-006,我今天不方便起身走动，刚在家连续读书四十分钟，现在想休息十分钟，但没法起身活动，怎么安排合适？,2,safety_constraint,cannot move currently; movement tasks must be excluded,4,F1:sedentary | F2:eye_health | F3:study_break | F4:light_recovery,"domains=['sedentary', 'eye_health', 'study_break', 'light_recovery'] | knowledge_trace=F1:KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-001-005,KC-SRC-008-006,KC-SRC-003-002; F2:KC-SRC-008-006,KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-001-003,KC-SRC-007-003; F3:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F4:KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-001-005,KC-SRC-004-005 | explanation=该任务匹配F1-F4：久坐用眼后需休息，且无需起身。远眺恰好满足无法活动时的眼部放松需求，且任务指令与证据明确支持读写约40分钟后休息约10分钟，方式包括远眺。",,,,,,,,,
AGX-006,我今天不方便起身走动，刚在家连续读书四十分钟，现在想休息十分钟，但没法起身活动，怎么安排合适？,3,time_constraint,10 minutes available,4,F1:sedentary | F2:eye_health | F3:study_break | F4:light_recovery,"domains=['sedentary', 'eye_health', 'study_break', 'light_recovery'] | knowledge_trace=F1:KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-001-005,KC-SRC-008-006,KC-SRC-003-002; F2:KC-SRC-008-006,KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-001-003,KC-SRC-007-003; F3:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F4:KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-001-005,KC-SRC-004-005 | explanation=该任务匹配F1-F4：久坐用眼后需休息，且无需起身。远眺恰好满足无法活动时的眼部放松需求，且任务指令与证据明确支持读写约40分钟后休息约10分钟，方式包括远眺。",,,,,,,,,
AGX-007,已经到睡觉时间了，我在床上还要用手机回一条重要消息，手机屏幕很亮，最多五分钟，接下来怎么安排？,1,behavior_need,reduce bright screen exposure before sleep,4,F1:sleep | F2:light_recovery | F3:sedentary | F4:study_break,"domains=['sleep', 'light_recovery', 'sedentary', 'study_break'] | knowledge_trace=F1:KC-SRC-001-007,KC-SRC-004-004,KC-SRC-003-004B,KC-SRC-007-004,KC-SRC-008-002B; F2:KC-SRC-001-007,KC-SRC-008-002B,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-008-002A; F3:KC-SRC-003-002,KC-SRC-003-004B,KC-SRC-008-008,KC-SRC-003-004A,KC-SRC-003-003; F4:KC-SRC-007-002,KC-SRC-003-004B,KC-SRC-003-002,KC-SRC-003-004A,KC-SRC-004-005 | explanation=已选任务契合当前情境：用户已到就寝时间，却仍在卧姿下暴露于高亮屏幕，且处理认知任务。任务指令明确要求临近睡觉时减少高亮度电子屏暴露，而证据强调夜间应避免富蓝光刺激、不玩手机，这与F1-F4高度一致，支持立即执行该任务。",,,,,,,,,
AGX-007,已经到睡觉时间了，我在床上还要用手机回一条重要消息，手机屏幕很亮，最多五分钟，接下来怎么安排？,2,context_constraint,in bed at bedtime,4,F1:sleep | F2:light_recovery | F3:sedentary | F4:study_break,"domains=['sleep', 'light_recovery', 'sedentary', 'study_break'] | knowledge_trace=F1:KC-SRC-001-007,KC-SRC-004-004,KC-SRC-003-004B,KC-SRC-007-004,KC-SRC-008-002B; F2:KC-SRC-001-007,KC-SRC-008-002B,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-008-002A; F3:KC-SRC-003-002,KC-SRC-003-004B,KC-SRC-008-008,KC-SRC-003-004A,KC-SRC-003-003; F4:KC-SRC-007-002,KC-SRC-003-004B,KC-SRC-003-002,KC-SRC-003-004A,KC-SRC-004-005 | explanation=已选任务契合当前情境：用户已到就寝时间，却仍在卧姿下暴露于高亮屏幕，且处理认知任务。任务指令明确要求临近睡觉时减少高亮度电子屏暴露，而证据强调夜间应避免富蓝光刺激、不玩手机，这与F1-F4高度一致，支持立即执行该任务。",,,,,,,,,
AGX-007,已经到睡觉时间了，我在床上还要用手机回一条重要消息，手机屏幕很亮，最多五分钟，接下来怎么安排？,3,time_constraint,only 5 minutes before lights-out,4,F1:sleep | F2:light_recovery | F3:sedentary | F4:study_break,"domains=['sleep', 'light_recovery', 'sedentary', 'study_break'] | knowledge_trace=F1:KC-SRC-001-007,KC-SRC-004-004,KC-SRC-003-004B,KC-SRC-007-004,KC-SRC-008-002B; F2:KC-SRC-001-007,KC-SRC-008-002B,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-008-002A; F3:KC-SRC-003-002,KC-SRC-003-004B,KC-SRC-008-008,KC-SRC-003-004A,KC-SRC-003-003; F4:KC-SRC-007-002,KC-SRC-003-004B,KC-SRC-003-002,KC-SRC-003-004A,KC-SRC-004-005 | explanation=已选任务契合当前情境：用户已到就寝时间，却仍在卧姿下暴露于高亮屏幕，且处理认知任务。任务指令明确要求临近睡觉时减少高亮度电子屏暴露，而证据强调夜间应避免富蓝光刺激、不玩手机，这与F1-F4高度一致，支持立即执行该任务。",,,,,,,,,
AGX-007,已经到睡觉时间了，我在床上还要用手机回一条重要消息，手机屏幕很亮，最多五分钟，接下来怎么安排？,4,soft_preference,must finish one quick reply first,4,F1:sleep | F2:light_recovery | F3:sedentary | F4:study_break,"domains=['sleep', 'light_recovery', 'sedentary', 'study_break'] | knowledge_trace=F1:KC-SRC-001-007,KC-SRC-004-004,KC-SRC-003-004B,KC-SRC-007-004,KC-SRC-008-002B; F2:KC-SRC-001-007,KC-SRC-008-002B,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-008-002A; F3:KC-SRC-003-002,KC-SRC-003-004B,KC-SRC-008-008,KC-SRC-003-004A,KC-SRC-003-003; F4:KC-SRC-007-002,KC-SRC-003-004B,KC-SRC-003-002,KC-SRC-003-004A,KC-SRC-004-005 | explanation=已选任务契合当前情境：用户已到就寝时间，却仍在卧姿下暴露于高亮屏幕，且处理认知任务。任务指令明确要求临近睡觉时减少高亮度电子屏暴露，而证据强调夜间应避免富蓝光刺激、不玩手机，这与F1-F4高度一致，支持立即执行该任务。",,,,,,,,,
AGX-008,晚上连续学习四十分钟，现在有十分钟休息，一会儿就要睡觉了，怎么休息合适？,1,behavior_need,continuous study needs interruption,4,F1:study_break | F2:sleep | F3:light_recovery | F4:sedentary,"domains=['study_break', 'sleep', 'light_recovery', 'sedentary'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-008-006,KC-SRC-008-002A,KC-SRC-003-004B; F2:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F3:KC-SRC-004-004,KC-SRC-007-004,KC-SRC-003-004A,KC-SRC-001-007,KC-SRC-004-001; F4:KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-008-006,KC-SRC-003-004B,KC-SRC-001-003 | explanation=该任务匹配当前情境：连续用眼后需及时放松，且休息时长与指令一致；远眺加轻微活动既能缓解视疲劳，又避免兴奋影响入睡，符合睡前安静过渡需求；证据明确支持此组合为标准护眼休息方式。",,,,,,,,,
AGX-008,晚上连续学习四十分钟，现在有十分钟休息，一会儿就要睡觉了，怎么休息合适？,2,sleep_factor,bedtime approaching; avoid stimulating activity,4,F1:study_break | F2:sleep | F3:light_recovery | F4:sedentary,"domains=['study_break', 'sleep', 'light_recovery', 'sedentary'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-008-006,KC-SRC-008-002A,KC-SRC-003-004B; F2:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F3:KC-SRC-004-004,KC-SRC-007-004,KC-SRC-003-004A,KC-SRC-001-007,KC-SRC-004-001; F4:KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-008-006,KC-SRC-003-004B,KC-SRC-001-003 | explanation=该任务匹配当前情境：连续用眼后需及时放松，且休息时长与指令一致；远眺加轻微活动既能缓解视疲劳，又避免兴奋影响入睡，符合睡前安静过渡需求；证据明确支持此组合为标准护眼休息方式。",,,,,,,,,
