case_id,domain,query,chunk_id,chunk_title,chunk_role,relevance_draft,chunk_content,source_document_id,source_locator,draft_reason,human_decision,human_notes
KRG-004,eye_health,哪些身体状态或光线环境下不适合看书或看电子屏幕？,KC-SRC-008-001,儿童青少年近视防控公共卫生综合干预技术指南,background_evidence,1,针对不同学龄阶段学生，运用《幼儿园和小学1-3年级学生用眼行为评价表（家长版）》和《小学4-6年级与中学生用眼行为评价表（学生版）》评价幼儿园至高中学生用眼行为，识别影响儿童青少年近视的风险行为因素，如户外活动时间不足、电子产品使用过多、睡眠不足或社会时差大、读写姿势不良、视觉环境不达标、眼放松行为较少等。针对具体风险因素，教师和家长有针对性地改变儿童青少年的不良用眼行为。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L15-L25,KC-SRC-003-002直接列出走路、吃饭、卧床、晃动车厢、暗光和阳光直射等情形；KC-SRC-008-008补充不躺卧使用，KC-SRC-008-001提供风险行为背景。,reject,Too broad to provide useful partial credit for this information need.
KRG-005,eye_health,晚上在家用电脑或手机学习时，照明和观看距离应怎样安排？,KC-SRC-008-002A,儿童青少年近视防控公共卫生综合干预技术指南,behavior_guidance,2,儿童青少年在晚间学习时除使用台灯照明外还应开顶灯。需要网络学习时，宜选择电视、台式电脑等大尺寸屏幕电子产品，相同屏幕尺寸情况下，选择屏幕分辨率高的电子产品。电视的观看距离不小于屏幕对角线距离的4倍，电脑的水平观看距离不小于50cm，手机的观看距离不小于40cm。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L42-L55,KC-SRC-008-002A直接说明晚间学习应同时使用台灯和顶灯，并给出电脑、手机观看距离；KC-SRC-003-002补充避免暗光和阳光直射的一般原则。,approve,
KRG-005,eye_health,晚上在家用电脑或手机学习时，照明和观看距离应怎样安排？,KC-SRC-003-002,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,1,保持正确的读写姿势，做到“一拳一尺一寸”；不在走路、吃饭、卧床时、晃动的车厢内、光线暗弱或阳光直射等情况下看书或使用电子产品。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L220-L220,KC-SRC-008-002A直接说明晚间学习应同时使用台灯和顶灯，并给出电脑、手机观看距离；KC-SRC-003-002补充避免暗光和阳光直射的一般原则。,approve,
KRG-006,eye_health,做一般用眼行为评估时，通常会关注哪些可能增加近视风险的日常习惯？,KC-SRC-008-001,儿童青少年近视防控公共卫生综合干预技术指南,background_evidence,2,针对不同学龄阶段学生，运用《幼儿园和小学1-3年级学生用眼行为评价表（家长版）》和《小学4-6年级与中学生用眼行为评价表（学生版）》评价幼儿园至高中学生用眼行为，识别影响儿童青少年近视的风险行为因素，如户外活动时间不足、电子产品使用过多、睡眠不足或社会时差大、读写姿势不良、视觉环境不达标、眼放松行为较少等。针对具体风险因素，教师和家长有针对性地改变儿童青少年的不良用眼行为。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L15-L25,KC-SRC-008-001直接列出户外不足、电子产品过多、睡眠不足、社会时差、姿势和视觉环境等风险行为；KC-SRC-001-001与KC-SRC-007-002提供跨领域和屏幕行为背景。,approve,
KRG-006,eye_health,做一般用眼行为评估时，通常会关注哪些可能增加近视风险的日常习惯？,KC-SRC-001-001,学生常见病多病共防技术指南,background_evidence,1,多病中病因相同或具有共同的风险因素时，可采取多病共防策略。如日间户外活动和体育锻炼缺乏、静态行为、睡眠节律紊乱、社会时差大、夜间接触光源刺激时间过长、营养失衡、亲子交流缺乏等往往是学生群体近视、超重肥胖、脊柱弯曲异常和心理健康问题的共同风险因素，通过增加体育锻炼和户外活动、充足睡眠和早睡早起、规律生活、均衡营养、加强亲子交流等，可同时预防多种疾病或健康问题，达到多病共防的目标。,SRC-001,data/processed/source_documents/SRC-001-student-common-diseases-2024.md:L81-L83,KC-SRC-008-001直接列出户外不足、电子产品过多、睡眠不足、社会时差、姿势和视觉环境等风险行为；KC-SRC-001-001与KC-SRC-007-002提供跨领域和屏幕行为背景。,approve,
KRG-006,eye_health,做一般用眼行为评估时，通常会关注哪些可能增加近视风险的日常习惯？,KC-SRC-007-002,学生常见病多病共防“十要义”,behavior_guidance,1,5.科学规划学习和娱乐时间，避免长时间注视屏幕。,SRC-007,data/processed/source_documents/SRC-007-common-diseases-ten-principles-2024.md:L18-L18,KC-SRC-008-001直接列出户外不足、电子产品过多、睡眠不足、社会时差、姿势和视觉环境等风险行为；KC-SRC-001-001与KC-SRC-007-002提供跨领域和屏幕行为背景。,approve,
KRG-007,sleep,小学生、初中生和高中生每天分别需要达到多少小时睡眠？,KC-SRC-004-002,教育部办公厅关于进一步加强中小学生睡眠管理工作的通知,behavior_guidance,2,根据不同年龄段学生身心发展特点，小学生每天睡眠时间应达到10小时，初中生应达到9小时，高中生应达到8小时。学校、家庭及有关方面应共同努力，确保中小学生充足睡眠时间。,SRC-004,data/processed/source_documents/SRC-004-student-sleep-management-2021.md:L18-L18,KC-SRC-004-002直接给出三个学段的10、9、8小时要求；KC-SRC-001-006补充满足学段时长的一般原则，KC-SRC-004-001说明睡眠的重要性。,approve,
KRG-007,sleep,小学生、初中生和高中生每天分别需要达到多少小时睡眠？,KC-SRC-001-006,学生常见病多病共防技术指南,behavior_guidance,1,（3）健康睡眠。满足各学段睡眠时间，保证睡眠质量，学习日和周末睡眠作息相对稳定。,SRC-001,data/processed/source_documents/SRC-001-student-common-diseases-2024.md:L137-L137,KC-SRC-004-002直接给出三个学段的10、9、8小时要求；KC-SRC-001-006补充满足学段时长的一般原则，KC-SRC-004-001说明睡眠的重要性。,approve,
KRG-007,sleep,小学生、初中生和高中生每天分别需要达到多少小时睡眠？,KC-SRC-004-001,教育部办公厅关于进一步加强中小学生睡眠管理工作的通知,background_evidence,1,睡眠是机体复原整合和巩固记忆的重要环节，对促进中小学生大脑发育、骨骼生长、视力保护、身心健康和提高学习能力与效率至关重要。,SRC-004,data/processed/source_documents/SRC-004-student-sleep-management-2021.md:L16-L16,KC-SRC-004-002直接给出三个学段的10、9、8小时要求；KC-SRC-001-006补充满足学段时长的一般原则，KC-SRC-004-001说明睡眠的重要性。,reject,Too broad to provide useful partial credit for this information need.
KRG-008,sleep,充足睡眠对中小学生的恢复、记忆和学习状态为什么重要？,KC-SRC-004-001,教育部办公厅关于进一步加强中小学生睡眠管理工作的通知,background_evidence,2,睡眠是机体复原整合和巩固记忆的重要环节，对促进中小学生大脑发育、骨骼生长、视力保护、身心健康和提高学习能力与效率至关重要。,SRC-004,data/processed/source_documents/SRC-004-student-sleep-management-2021.md:L16-L16,KC-SRC-004-001直接说明睡眠与机体复原、记忆巩固、发育、视力和学习效率的关系；KC-SRC-001-001提供多病共防背景，KC-SRC-004-002补充充足睡眠的学段要求。,approve,
KRG-008,sleep,充足睡眠对中小学生的恢复、记忆和学习状态为什么重要？,KC-SRC-001-001,学生常见病多病共防技术指南,background_evidence,1,多病中病因相同或具有共同的风险因素时，可采取多病共防策略。如日间户外活动和体育锻炼缺乏、静态行为、睡眠节律紊乱、社会时差大、夜间接触光源刺激时间过长、营养失衡、亲子交流缺乏等往往是学生群体近视、超重肥胖、脊柱弯曲异常和心理健康问题的共同风险因素，通过增加体育锻炼和户外活动、充足睡眠和早睡早起、规律生活、均衡营养、加强亲子交流等，可同时预防多种疾病或健康问题，达到多病共防的目标。,SRC-001,data/processed/source_documents/SRC-001-student-common-diseases-2024.md:L81-L83,KC-SRC-004-001直接说明睡眠与机体复原、记忆巩固、发育、视力和学习效率的关系；KC-SRC-001-001提供多病共防背景，KC-SRC-004-002补充充足睡眠的学段要求。,approve,
KRG-008,sleep,充足睡眠对中小学生的恢复、记忆和学习状态为什么重要？,KC-SRC-004-002,教育部办公厅关于进一步加强中小学生睡眠管理工作的通知,behavior_guidance,1,根据不同年龄段学生身心发展特点，小学生每天睡眠时间应达到10小时，初中生应达到9小时，高中生应达到8小时。学校、家庭及有关方面应共同努力，确保中小学生充足睡眠时间。,SRC-004,data/processed/source_documents/SRC-004-student-sleep-management-2021.md:L18-L18,KC-SRC-004-001直接说明睡眠与机体复原、记忆巩固、发育、视力和学习效率的关系；KC-SRC-001-001提供多病共防背景，KC-SRC-004-002补充充足睡眠的学段要求。,reject,Too broad to provide useful partial credit for this information need.
KRG-009,sleep,不同学段学生通常最晚几点就寝，到了时间作业还没完成怎么办？,KC-SRC-004-004,教育部办公厅关于进一步加强中小学生睡眠管理工作的通知,behavior_guidance,2,中小学校要指导家长和学生，制订学生作息时间表，在保证学生睡眠时间要求前提下，结合学生个体睡眠状况、午休时间等实际，合理确定学生晚上就寝时间，促进学生自主管理、规律作息、按时就寝。小学生就寝时间一般不晚于21:20；初中生一般不晚于22:00；高中生一般不晚于23:00。个别学生经努力到就寝时间仍未完成作业的，家长应督促按时就寝不熬夜，确保充足睡眠。,SRC-004,data/processed/source_documents/SRC-004-student-sleep-management-2021.md:L24-L24,KC-SRC-004-004直接给出小学、初中、高中的一般最晚就寝时间及未完成作业时按时就寝的原则；KC-SRC-004-003说明作业不应挤占睡眠，KC-SRC-004-002提供时长背景。,approve,
KRG-009,sleep,不同学段学生通常最晚几点就寝，到了时间作业还没完成怎么办？,KC-SRC-004-003,教育部办公厅关于进一步加强中小学生睡眠管理工作的通知,safety_boundary,1,中小学校要提升课堂教学实效，加强作业统筹管理，严格按照有关规定要求，合理调控学生书面作业总量，指导学生充分利用自习课或课后服务时间，使小学生在校内基本完成书面作业、中学生在校内完成大部分书面作业，避免学生回家后作业时间过长，挤占正常睡眠时间。,SRC-004,data/processed/source_documents/SRC-004-student-sleep-management-2021.md:L22-L22,KC-SRC-004-004直接给出小学、初中、高中的一般最晚就寝时间及未完成作业时按时就寝的原则；KC-SRC-004-003说明作业不应挤占睡眠，KC-SRC-004-002提供时长背景。,approve,
KRG-009,sleep,不同学段学生通常最晚几点就寝，到了时间作业还没完成怎么办？,KC-SRC-004-002,教育部办公厅关于进一步加强中小学生睡眠管理工作的通知,behavior_guidance,1,根据不同年龄段学生身心发展特点，小学生每天睡眠时间应达到10小时，初中生应达到9小时，高中生应达到8小时。学校、家庭及有关方面应共同努力，确保中小学生充足睡眠时间。,SRC-004,data/processed/source_documents/SRC-004-student-sleep-management-2021.md:L18-L18,KC-SRC-004-004直接给出小学、初中、高中的一般最晚就寝时间及未完成作业时按时就寝的原则；KC-SRC-004-003说明作业不应挤占睡眠，KC-SRC-004-002提供时长背景。,reject,Too broad to provide useful partial credit for this information need.
KRG-010,sleep,为了让作息更稳定，周末起床时间与上学日相差多少较合适？,KC-SRC-008-007,儿童青少年近视防控公共卫生综合干预技术指南,behavior_guidance,2,我在周末平均起床时间与上学日相比通常不超过1小时。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L268-L272,KC-SRC-008-007直接给出周末与上学日起床时间通常相差不超过1小时；KC-SRC-001-006和KC-SRC-007-004补充作息稳定、固定时间和早睡早起原则。,approve,
KRG-010,sleep,为了让作息更稳定，周末起床时间与上学日相差多少较合适？,KC-SRC-001-006,学生常见病多病共防技术指南,behavior_guidance,1,（3）健康睡眠。满足各学段睡眠时间，保证睡眠质量，学习日和周末睡眠作息相对稳定。,SRC-001,data/processed/source_documents/SRC-001-student-common-diseases-2024.md:L137-L137,KC-SRC-008-007直接给出周末与上学日起床时间通常相差不超过1小时；KC-SRC-001-006和KC-SRC-007-004补充作息稳定、固定时间和早睡早起原则。,approve,
KRG-010,sleep,为了让作息更稳定，周末起床时间与上学日相差多少较合适？,KC-SRC-007-004,学生常见病多病共防“十要义”,behavior_guidance,1,9.建立良好睡眠习惯，保持固定睡眠时间，早睡早起。,SRC-007,data/processed/source_documents/SRC-007-common-diseases-ten-principles-2024.md:L26-L26,KC-SRC-008-007直接给出周末与上学日起床时间通常相差不超过1小时；KC-SRC-001-006和KC-SRC-007-004补充作息稳定、固定时间和早睡早起原则。,approve,
KRG-011,sleep,儿童青少年的卧室和睡前电子设备光线应如何管理？,KC-SRC-008-002B,儿童青少年近视防控公共卫生综合干预技术指南,behavior_guidance,2,儿童青少年卧室不摆放电视、电脑，夜间使用避光窗帘，不开夜灯睡觉。引导儿童青少年在夜间避免或减少暴露在高亮度、富蓝光的电子产品光线下。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L42-L55,KC-SRC-008-002B直接说明卧室设备、窗帘、夜灯及高亮度电子光线管理；KC-SRC-001-004与KC-SRC-001-007补充减少夜间光刺激和睡前不用电子产品的原则。,approve,
KRG-011,sleep,儿童青少年的卧室和睡前电子设备光线应如何管理？,KC-SRC-001-004,学生常见病多病共防技术指南,behavior_guidance,1,（5）早睡早起，每天减少夜间接触光源刺激1小时。,SRC-001,data/processed/source_documents/SRC-001-student-common-diseases-2024.md:L113-L113,KC-SRC-008-002B直接说明卧室设备、窗帘、夜灯及高亮度电子光线管理；KC-SRC-001-004与KC-SRC-001-007补充减少夜间光刺激和睡前不用电子产品的原则。,approve,
KRG-011,sleep,儿童青少年的卧室和睡前电子设备光线应如何管理？,KC-SRC-001-007,学生常见病多病共防技术指南,behavior_guidance,1,（5）视屏时间。控制观看电子屏幕的时间，睡前不玩手机及其他电子产品。,SRC-001,data/processed/source_documents/SRC-001-student-common-diseases-2024.md:L141-L141,KC-SRC-008-002B直接说明卧室设备、窗帘、夜灯及高亮度电子光线管理；KC-SRC-001-004与KC-SRC-001-007补充减少夜间光刺激和睡前不用电子产品的原则。,approve,
KRG-012,study_break,连续读书写字多久后应该暂停，休息多长时间？,KC-SRC-003-003,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,2,读写连续用眼时间不宜超过40分钟，每40分钟左右要休息10分钟，可远眺或做眼保健操等。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L222-L222,KC-SRC-003-003直接给出连续读写约40分钟、休息10分钟；KC-SRC-008-006补充该时点可采用的放松方式。,approve,
KRG-012,study_break,连续读书写字多久后应该暂停，休息多长时间？,KC-SRC-008-006,儿童青少年近视防控公共卫生综合干预技术指南,behavior_guidance,1,持续读书写字40分钟后，我通过远眺/轻微活动/户外活动/做眼保健操等一种方式或多种方式放松眼睛。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L245-L267,KC-SRC-003-003直接给出连续读写约40分钟、休息10分钟；KC-SRC-008-006补充该时点可采用的放松方式。,approve,
KRG-013,study_break,课余用电子产品学习时，连续使用多久后需要远眺放松，放松多久？,KC-SRC-003-004A,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,2,课余时间使用电子产品学习30～40分钟后，应休息远眺放松10分钟。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L224-L224,KC-SRC-003-004A直接给出课余电子学习30至40分钟后远眺10分钟；KC-SRC-003-003和KC-SRC-008-006提供一般读写休息及恢复方式背景。,approve,
KRG-013,study_break,课余用电子产品学习时，连续使用多久后需要远眺放松，放松多久？,KC-SRC-003-003,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,1,读写连续用眼时间不宜超过40分钟，每40分钟左右要休息10分钟，可远眺或做眼保健操等。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L222-L222,KC-SRC-003-004A直接给出课余电子学习30至40分钟后远眺10分钟；KC-SRC-003-003和KC-SRC-008-006提供一般读写休息及恢复方式背景。,approve,
KRG-013,study_break,课余用电子产品学习时，连续使用多久后需要远眺放松，放松多久？,KC-SRC-008-006,儿童青少年近视防控公共卫生综合干预技术指南,behavior_guidance,1,持续读书写字40分钟后，我通过远眺/轻微活动/户外活动/做眼保健操等一种方式或多种方式放松眼睛。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L245-L267,KC-SRC-003-004A直接给出课余电子学习30至40分钟后远眺10分钟；KC-SRC-003-003和KC-SRC-008-006提供一般读写休息及恢复方式背景。,approve,
KRG-014,study_break,在学校课间，怎样利用这段时间减少一直待在教室里的连续近距离用眼？,KC-SRC-008-004,儿童青少年近视防控公共卫生综合干预技术指南,behavior_guidance,2,老师要及时提醒学生、班级“护眼小卫士”监督同学课间10分钟走出教室。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L72-L79,KC-SRC-008-004直接提出课间10分钟走出教室；KC-SRC-001-005补充参与课间操和学校体育活动的一般方向。,approve,
KRG-014,study_break,在学校课间，怎样利用这段时间减少一直待在教室里的连续近距离用眼？,KC-SRC-001-005,学生常见病多病共防技术指南,behavior_guidance,1,（1）身体活动。保证户外活动时间、积极参与学校体育课、课间操，丰富课外体育活动内容。,SRC-001,data/processed/source_documents/SRC-001-student-common-diseases-2024.md:L131-L133,KC-SRC-008-004直接提出课间10分钟走出教室；KC-SRC-001-005补充参与课间操和学校体育活动的一般方向。,approve,
KRG-015,study_break,纸质读写和课余电子学习的连续用眼休息时点是否相同？,KC-SRC-003-003,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,2,读写连续用眼时间不宜超过40分钟，每40分钟左右要休息10分钟，可远眺或做眼保健操等。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L222-L222,KC-SRC-003-003直接给出一般读写约40分钟，KC-SRC-003-004A直接给出课余电子学习30至40分钟；KC-SRC-008-006补充读写后的恢复方式，因此可支持两种场景的比较。,approve,
KRG-015,study_break,纸质读写和课余电子学习的连续用眼休息时点是否相同？,KC-SRC-003-004A,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,2,课余时间使用电子产品学习30～40分钟后，应休息远眺放松10分钟。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L224-L224,KC-SRC-003-003直接给出一般读写约40分钟，KC-SRC-003-004A直接给出课余电子学习30至40分钟；KC-SRC-008-006补充读写后的恢复方式，因此可支持两种场景的比较。,approve,
KRG-015,study_break,纸质读写和课余电子学习的连续用眼休息时点是否相同？,KC-SRC-008-006,儿童青少年近视防控公共卫生综合干预技术指南,behavior_guidance,1,持续读书写字40分钟后，我通过远眺/轻微活动/户外活动/做眼保健操等一种方式或多种方式放松眼睛。,SRC-008,data/processed/source_documents/SRC-008-myopia-public-health-intervention-2023.md:L245-L267,KC-SRC-003-003直接给出一般读写约40分钟，KC-SRC-003-004A直接给出课余电子学习30至40分钟；KC-SRC-008-006补充读写后的恢复方式，因此可支持两种场景的比较。,approve,
KRG-016,sedentary,连续坐着学习或娱乐多长时间后，应该起身活动多久？,KC-SRC-007-003,学生常见病多病共防“十要义”,behavior_guidance,2,6.久坐1小时后起身活动10分钟，放松眼睛和身体。,SRC-007,data/processed/source_documents/SRC-007-common-diseases-ten-principles-2024.md:L20-L20,KC-SRC-007-003直接给出久坐1小时后起身活动10分钟的普通久坐中断建议。,approve,
KRG-017,sedentary,为什么减少静态行为会被放在学生多种健康问题共同预防的框架里？,KC-SRC-001-001,学生常见病多病共防技术指南,background_evidence,2,多病中病因相同或具有共同的风险因素时，可采取多病共防策略。如日间户外活动和体育锻炼缺乏、静态行为、睡眠节律紊乱、社会时差大、夜间接触光源刺激时间过长、营养失衡、亲子交流缺乏等往往是学生群体近视、超重肥胖、脊柱弯曲异常和心理健康问题的共同风险因素，通过增加体育锻炼和户外活动、充足睡眠和早睡早起、规律生活、均衡营养、加强亲子交流等，可同时预防多种疾病或健康问题，达到多病共防的目标。,SRC-001,data/processed/source_documents/SRC-001-student-common-diseases-2024.md:L81-L83,KC-SRC-001-001直接把静态行为列为多种学生健康问题的共同风险因素并说明多病共防策略；KC-SRC-007-003提供具体久坐中断行为作为辅助证据。,approve,
KRG-017,sedentary,为什么减少静态行为会被放在学生多种健康问题共同预防的框架里？,KC-SRC-007-003,学生常见病多病共防“十要义”,behavior_guidance,1,6.久坐1小时后起身活动10分钟，放松眼睛和身体。,SRC-007,data/processed/source_documents/SRC-007-common-diseases-ten-principles-2024.md:L20-L20,KC-SRC-001-001直接把静态行为列为多种学生健康问题的共同风险因素并说明多病共防策略；KC-SRC-007-003提供具体久坐中断行为作为辅助证据。,reject,Too broad to provide useful partial credit for this information need.
KRG-018,sedentary,长时间写作业时，用眼休息和久坐中断分别应按什么节奏安排？,KC-SRC-003-003,儿童青少年近视防控适宜技术指南（更新版）,behavior_guidance,2,读写连续用眼时间不宜超过40分钟，每40分钟左右要休息10分钟，可远眺或做眼保健操等。,SRC-003,data/processed/source_documents/SRC-003-myopia-appropriate-technology-2021.md:L222-L222,KC-SRC-003-003直接给出读写40分钟与休息10分钟的用眼节奏，KC-SRC-007-003直接给出久坐1小时与起身10分钟的节奏；KC-SRC-008-006补充读写后的轻恢复选择。,approve,
KRG-018,sedentary,长时间写作业时，用眼休息和久坐中断分别应按什么节奏安排？,KC-SRC-007-003,学生常见病多病共防“十要义”,behavior_guidance,2,6.久坐1小时后起身活动10分钟，放松眼睛和身体。,SRC-007,data/processed/source_documents/SRC-007-common-diseases-ten-principles-2024.md:L20-L20,KC-SRC-003-003直接给出读写40分钟与休息10分钟的用眼节奏，KC-SRC-007-003直接给出久坐1小时与起身10分钟的节奏；KC-SRC-008-006补充读写后的轻恢复选择。,approve,
