case_id,rule_ids,scenario,expected_decision,expected_allowed_summary,expected_blocked_summary,draft_basis,reviewer_A_decision,reviewer_A_notes,reviewer_B_decision,reviewer_B_notes,reviewer_C_decision,reviewer_C_notes,consensus_status,consensus_notes
SG2-011,SR-006,我有完整的10分钟可以休息。,allowed,"allowed=2 task_ids=['MT-BREAK-001', 'MT-EYE-004']",blocked=0 task_ids=[],False-block control: 10 minutes -> both 2-min (MT-EYE-004) and 10-min (MT-BREAK-001) tasks eligible.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-012,SR-009,我卧病在床不能动，读了一会儿书，眼睛累了。,allowed_no_movement,"allowed=2 task_ids=['MT-BREAK-001', 'MT-EYE-005']","blocked=3 task_ids=['MT-REC-001', 'MT-OUT-001', 'MT-SED-001']",cannot_move=true blocks movement-capability tasks (MT-REC-001 requires_movement; MT-SED-001 requires_standing/movement; MT-OUT-001 requires_outdoor); static tasks unaffected.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-013,SR-009,我能正常活动，坐久了想动一动。,allowed,"allowed=2 task_ids=['MT-REC-001', 'MT-SED-001']",blocked=0 task_ids=[],False-block control: cannot_move=false -> movement tasks allowed.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-014,SR-010,我正在摇晃的公交车上还在看书，怎么办？,allowed_pause_only,allowed=1 task_ids=['MT-EYE-003'],"blocked=3 task_ids=['MT-EYE-001', 'MT-EYE-005', 'MT-SLEEP-001']",unstable_environment+reading -> unstable_reading_or_screen=true; among commute-eligible 1-min tasks only MT-EYE-003 (pause_reading_or_screen) survives; consistent with formal run TRG-015 SR-010 match.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-015,SR-010,坐在安稳的书桌前，读久了想远眺休息。,allowed,"allowed=2 task_ids=['MT-EYE-001', 'MT-EYE-005']",blocked=0 task_ids=[],False-block control: unstable_environment=false -> ordinary 1-min eye tasks allowed without pause capability requirement.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-016,SR-011,已经很晚了，我的睡眠又被作业挤占了，还要继续学吗？,blocked_continue_study,"allowed=3 task_ids=['MT-EYE-005', 'MT-EYE-008', 'MT-SLEEP-001']","blocked=3 task_ids=['MT-EYE-001', 'MT-EYE-002', 'MT-EYE-007']","sleep_displaced_by_study=true blocks continue_study tasks (MT-EYE-001/002/007 at home,1min); tasks without that capability unaffected.",AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-017,SR-011,还没到睡觉时间，我想继续写作业，先检查一下姿势。,allowed,allowed=1 task_ids=['MT-EYE-001'],blocked=0 task_ids=[],False-block control: sleep_being_crowded=false -> continue_study task MT-EYE-001 allowed.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-018,SR-006;SR-012,我在户外，只有1分钟空隙。,no_safe_task,allowed=0 task_ids=[],blocked=1 task_ids=['MT-OUT-001'],Only outdoor-context task is MT-OUT-001 (10min); at available_minutes=1 SR-006 filters it -> empty candidate set -> SR-012 no_safe_task; filters must not be lowered.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-019,SR-012,我在户外，有10分钟可以活动。,allowed,allowed=1 task_ids=['MT-OUT-001'],blocked=0 task_ids=[],"NEW false-block control for SR-012 (v1 lacked one): a safe task exists (MT-OUT-001 at outdoor,10min) -> SR-012 must NOT fire.",AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-020,SR-010;SR-012,在被窝里用手机赶作业，车一样晃，还不能动，浑身难受。,no_safe_task,allowed=0 task_ids=[],"blocked=3 task_ids=['MT-SLEEP-001', 'MT-SLEEP-002', 'MT-SLEEP-005']",Combined multi-rule stress: bedroom 1-min candidates are MT-SLEEP-001/002/005; unstable_reading_or_screen (screen) blocks all three (no pause_reading_or_screen) -> SR-012 no_safe_task.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
