system,metric,numerator,denominator,value,wilson_95_ci_low,wilson_95_ci_high,case_ids
personal,Preferred@1,12,20,0.6,0.3865815007622531,0.781193467627183,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
personal,Valid@1,17,20,0.85,0.6395811352592431,0.9476312541037835,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
personal,Invalid Recommendation Rate,3,20,0.15,0.052368745896216595,0.36041886474075696,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
personal,Hard Constraint Satisfaction Rate,20,20,1.0,0.8388748419471806,1.0,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
personal,Soft Preference Alignment Rate,11,11,1.0,0.7411670330319684,1.0,AGX-001|AGX-004|AGX-007|AGX-008|AGX-009|AGX-011|AGX-014|AGX-015|AGX-016|AGX-019|AGX-020
personal,Memory Preference Alignment Rate,8,9,0.8888888888888888,0.5650002944233439,0.9801091123614551,AGX-005|AGX-008|AGX-009|AGX-011|AGX-013|AGX-015|AGX-017|AGX-018|AGX-020
personal,Evidence Contamination,0,20,0.0,0.0,0.16112515805281938,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
personal,Output Guard Pass Rate,15,21,0.7142857142857143,0.5004361928391441,0.8618613704787788,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020|AGX-023
agentic,Gold Utility@1,30,20,1.5,,,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
agentic,Preferred@1,13,20,0.65,0.43285427668523624,0.818808175898918,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
agentic,Valid@1,17,20,0.85,0.6395811352592431,0.9476312541037835,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
agentic,Invalid Recommendation Rate,3,20,0.15,0.052368745896216595,0.36041886474075696,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
agentic,Hard Constraint Satisfaction Rate,20,20,1.0,0.8388748419471806,1.0,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
agentic,Soft Preference Alignment Rate,11,11,1.0,0.7411670330319684,1.0,AGX-001|AGX-004|AGX-007|AGX-008|AGX-009|AGX-011|AGX-014|AGX-015|AGX-016|AGX-019|AGX-020
agentic,Memory Preference Alignment Rate,8,9,0.8888888888888888,0.5650002944233439,0.9801091123614551,AGX-005|AGX-008|AGX-009|AGX-011|AGX-013|AGX-015|AGX-017|AGX-018|AGX-020
agentic,Evidence Contamination,0,20,0.0,0.0,0.16112515805281938,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020
agentic,Output Guard Pass Rate,21,21,1.0,0.8453609810751531,1.0,AGX-001|AGX-002|AGX-003|AGX-004|AGX-005|AGX-006|AGX-007|AGX-008|AGX-009|AGX-010|AGX-011|AGX-012|AGX-013|AGX-014|AGX-015|AGX-016|AGX-017|AGX-018|AGX-019|AGX-020|AGX-023
