metric_name,numerator,denominator,value,applicable_case_ids,run_id
Personal Preferred Top1 Rate,14,24,0.5833333333333334,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Basic Avoided Top1 Rate,2,22,0.09090909090909091,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S02|IND-P05-S03|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Personal Avoided Top1 Rate,0,22,0.0,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S02|IND-P05-S03|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Mean Preferred Rank — Basic,89,24,3.7083333333333335,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Mean Preferred Rank — Personal,48,24,2,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Mean Preferred Rank Gain,41,24,1.7083333333333333,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Mean Avoided Rank — Basic,95,22,4.318181818181818,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S02|IND-P05-S03|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Mean Avoided Rank — Personal,141,22,6.409090909090909,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S02|IND-P05-S03|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Mean Avoided Rank Demotion,46,22,2.090909090909091,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S02|IND-P05-S03|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Out-of-pool Memory No-op Rate,0,0,not_measured,,20260816T081544Z_personal_rag_independent_v1
Candidate-set Invariance Rate,24,24,1.0,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Any Profile Memory Hit Rate,24,24,1.0,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Preferred Memory Retrieval Hit Rate,24,24,1.0,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Avoided Memory Retrieval Hit Rate,24,24,1.0,IND-P01-S01|IND-P01-S02|IND-P01-S03|IND-P01-S04|IND-P02-S01|IND-P02-S02|IND-P02-S03|IND-P02-S04|IND-P03-S01|IND-P03-S02|IND-P03-S03|IND-P03-S04|IND-P04-S01|IND-P04-S02|IND-P04-S03|IND-P04-S04|IND-P05-S01|IND-P05-S02|IND-P05-S03|IND-P05-S04|IND-P06-S05|IND-P06-S06|IND-P06-S07|IND-P06-S08,20260816T081544Z_personal_rag_independent_v1
Macro-average Profile Utility Improvement,3.0,6,0.5,P01|P02|P03|P04|P05|P06,20260816T081544Z_personal_rag_independent_v1
Mean Utility Improvement 95% CI,0,6,"[0.16666666666666666, 0.875]",P01|P02|P03|P04|P05|P06,20260816T081544Z_personal_rag_independent_v1
